longitude,latitude,population
-93.3602,44.8914,51958
-85.5925,42.8852,51747
-122.3393,47.4762,51671
-117.729,33.5792,51671
-110.3153,31.563,51571
-88.1463,42.0638,51567
-81.5308,28.7015,51564
-90.3269,38.7996,51443
-76.4561,41.0027,51356
-74.4157,40.6154,51327
-81.2849,28.2303,51282
-80.2715,25.7037,51095
-118.0686,33.8677,51020
-81.6135,31.8247,51001
-77.0724,35.0955,50617
-78.8659,35.7248,50451
-80.1788,33.0005,50388
-89.699,35.0474,50286
-71.1889,42.734,50259
-81.8008,41.4824,50249
-112.0197,46.5964,50227
-117.0201,32.9871,50041
